INDEX_LETTER;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я
ф;0.0;0.029068210000620823;1.0;0.013560349418005898;0.07416461092933743;2.7959483336094637E-4;0.0;0.014260950232076278;0.0;0.0;0.11353597382832019;0.03298693149960056;0.027551186119123095;0.16450990080558223;0.0;0.038205746376127725;0.10989860302848298;0.08216230851515854;0.04976432992766609;0.006457309246669475;0.0;0.0;0.03600794322381259;0.033977174656412354;0.03314752079956998;0.041049897585228964;0.045201164726686324;0.0;0.17004614877121876;0.01808046589067453;0.0;0.0;0.0028809097655002913
х;0.05192515682434446;0.040956571091598844;0.019895293180996327;0.22317650042862994;0.09037855417155669;0.06923354243245927;0.05192515682434446;0.34625322805026393;1.0;0.0219263792472547;0.043270964020287045;0.32338647689446864;0.009540737311303232;0.012981289206086115;0.09956685183222688;0.06577186531083631;0.10451923216972621;0.12941305557503424;0.051986972487230575;0.0;0.0;0.058695128888022675;0.0;0.03895236137346407;0.08215778102308464;0.20897244423595032;0.05292371753250493;0.16317107019384844;0.0;0.012981289206086115;0.0028483534954085554;0.0;0.003994242832641882
ц;0.006096117493233984;0.024384469972935936;0.008534564490527578;0.027559011091784918;0.21557274538945626;0.05120738694316546;0.0;0.03294005555826777;0.4263893767053646;0.07420762572590842;0.5792731957509082;0.26085373576048504;0.07049809823758123;0.01524029373308496;0.2167366280644254;0.0;0.01976425460964281;0.0020320391644113277;0.3667196581340033;0.16648025248664863;0.7001984102087865;0.09289938992326896;0.0768110804147482;0.0;1.0;0.07311991476774608;0.17661089850936149;0.036576704959403905;0.12468285544715811;0.0;0.0;0.0;0.0
ч;0.03890356031617266;0.050297683483162985;0.05878522108619605;0.07058012386630474;0.09421157552920603;0.06866690888394271;0.015036868983804956;0.21196826518970455;0.02311361483825723;0.03978261035883015;0.009666558632446042;0.19225451156451787;0.09473641646778294;9.59800147902444E-4;0.2971148908649693;0.022555303475707434;0.06444372421630695;0.10288234522292533;1.0;0.24847703979133473;0.0400031600954292;0.04180786608532914;0.04702271720793318;0.5342102821716183;0.0;0.3344627820701438;0.3785261275084879;0.03212422010176513;0.03937371454563711;0.015922753063328313;0.0;0.007518434491902478;0.2867268191457865
ш;0.022513383415768733;0.007018878359033782;0.03775246572455251;0.11366097185097057;0.03260161735865341;0.015759368391038114;0.0;0.27686335838491;0.039398420977595286;7.504461138589578E-4;0.002501487046196526;0.03097649694661971;0.024667441705549076;0.027824272310048304;0.11774558786288225;0.0041095858616085786;0.04101351152698739;0.03640299623498877;0.0911133507720096;0.011256691707884367;0.0;0.027512510623995234;0.055447222168378524;0.02318342458885709;0.0936955367730027;0.0;1.0;0.011256691707884367;0.0;3.1268588077456574E-4;0.0;0.007504461138589578;0.0
щ;0.0;0.0;0.015533778120487271;0.0;0.0;9.739045843565687E-5;0.0;0.16800966768312445;0.06297727143361834;9.739045843565687E-5;0.0;0.005177926040162424;0.005177926040162424;0.020711704160649696;0.08065111382809953;0.0;0.0;0.0;0.002588963020081212;0.017708507057355487;0.0;0.005177926040162424;0.005177926040162424;0.14920939869785613;0.24823180393710148;1.0;0.0;0.015533778120487271;0.0014794074400464067;0.0;0.0;0.0;0.0
ъ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.855186972152214E-4;0.0;0.0;0.0;0.01108708534367124;0.0;0.0;0.0;0.0;0.01478278045822832;0.0;0.0;0.007320996036455931;0.00554354267183562;0.0;0.0;0.0;0.0;0.0;1.0;0.014413210946772614;0.0;0.0
ы;0.145189520382571;1.1229531953321043E-4;0.10912653269886172;0.008554677675430876;0.006754355515627175;0.03163581031156576;0.0;0.0;0.0;1.0;0.001814001315536476;0.025157459107732635;0.006976717512433121;0.007214350417122474;0.022367518809196532;0.15502816731799976;0.01810995365881854;0.00875774174599767;0.022182684585499046;0.011555751310040708;0.06028580514591916;0.05082253682236978;0.001572134473464946;0.0065433675340031226;0.00728771987602853;3.3097567862419916E-4;0.003144268946929892;0.03249117755443454;0.0;0.059270395090854425;0.027274749303623842;0.004304124745030974;0.06353071793905224
ь;0.21688834231439125;1.0;0.0017888702825924131;0.006730257866474734;0.039006258557332946;0.15936576269992106;0.019421441434258557;0.0;0.006730257866474734;0.7734364627963988;0.010040580013855355;0.05745328580429489;0.014439206263754499;0.0;0.04683148850184611;0.20965202379834294;0.016451741451382684;0.05791012990886705;0.07669689693670166;0.5668901245795965;0.007036178678587222;0.013460515732949468;0.0;0.026921031465898936;0.009132252302306942;0.0022434192888249114;0.005328120810959164;0.2263593828051479;0.07525037820130168;0.0;0.03946341729006396;0.08521119237268579;0.19124727068004596
э;0.04099563468226473;0.0;0.011939461489358254;0.0;0.02116540900386236;1.0;0.01790919223403738;0.0811983536722075;0.11377754815879267;0.2853514803262542;0.023650799272840434;0.0020728231752358077;0.0013820561625707227;0.0010233824133735647;0.02069506658155431;0.005969730744679127;0.023708553950614938;0.01828622786001712;0.041788115212753885;0.016151685682712073;1.681727228119023E-4;0.0;0.005320470155713994;0.0;0.0;0.003255010916973495;0.03603795105474708;0.031341086409565413;0.011939461489358254;0.0;0.0;0.00895459611701869;0.02229537845492773
ю;0.05175878314819738;0.7089155468966294;0.0;0.04091677939219975;0.0;0.30805685343611583;0.07279673275181875;0.0;0.026397922188515967;0.176653557812762;0.05543563659588353;0.0;0.0113133952236497;0.0;0.04355657161105135;0.09895195961696278;0.009899220820693487;0.0;0.0;0.0;1.0;0.0013198961094257984;0.0;0.0;0.03629714300920946;0.0;0.03959688328277395;0.03959688328277395;0.14916954072203173;0.32541349021647936;0.112308729707819;0.0;0.37854483207267065
я;0.5545940960460812;0.011882585267484206;0.00672846833011857;0.029526291786373123;0.012934375906571491;1.0;0.01742851461210743;0.0027346556616269476;0.024502514728177452;0.411686447893472;0.11139355059315553;0.07451113043725799;0.019177418956799575;0.012053920948688826;0.06700514072244161;0.07379452799658928;0.034280279751820075;0.030943231616220642;0.024219062502130656;0.046929394449759174;0.033860478598939335;0.07043212068946225;0.023821889319061408;2.929521129624277E-5;0.3828992962316172;0.0;0.0;0.018291807869993584;0.16746334202791804;0.08880238138942992;0.011687242650078653;0.1120491592484771;0.0
